Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality,Total
System,CN,"Collection, purification and distribution of water (41)",0,10215.27628,6043.896432,8130.34772,0,0,0,10868.0818,9049.66104,0,17522.72818,0,5546.869519,7013.62499,6014.961765,0,9410.528079,15546.69416,0,17359.8508,14163.82959,136886.3504
System,AU,Mining of precious metal ores and concentrates,0,0,0,12451.71446,0,0,0,0,0,0,16671.26878,0,9772.411441,0,0,0,0,14835.67623,0,16209.1278,0,69940.19872
System,US,Petroleum Refinery,0,7842.023023,0,5748.858417,0,0,0,8535.259409,19586.64058,0,16556.04132,0,10295.59738,0,0,0,0,13613.97768,0,0,15938.3772,98116.775
System,US,"Manufacture of radio, television and communication equipment and apparatus (32)",0,0,0,0,7707.366825,0,0,0,0,0,16289.83143,0,0,0,0,0,0,13395.07417,0,0,0,37392.27243
System,GB,Processing of Food products nec,0,6172.991135,0,0,5342.71626,0,0,6557.623483,8769.002424,0,16154.59532,0,5526.877031,0,0,0,2981.910422,13978.34452,0,9468.921456,10004.90163,84957.88367
System,CH,Cultivation of crops nec,10073.11441,9110.342061,11904.92451,12231.31924,8219.983774,13345.26815,8835.287246,9700.274245,15515.52924,3293.165544,16141.47317,0,15647.55335,0,12425.74371,12981.28008,13054.2695,13526.26019,6176.701166,13750.66214,15349.94127,221283.093
System,CN,"Manufacture of radio, television and communication equipment and apparatus (32)",0,0,0,0,8410.451555,0,0,0,0,0,15641.82789,0,0,0,0,0,0,13877.90256,0,0,0,37930.18201
System,FR,Manufacture of electrical machinery and apparatus n.e.c. (31),0,0,0,3452.07665,6998.88714,0,0,8975.657365,11781.35515,0,13225.51356,0,3377.728901,13002.09322,0,0,0,10788.79062,4173.569067,12769.23984,9347.255137,97892.16665
System,CN,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,8485.791867,0,3376.924747,7043.983055,0,0,9028.074971,11276.27946,0,13100.45839,0,3455.82285,8739.288139,0,0,0,11623.12271,4226.327046,12978.68692,8824.380271,102159.1404
System,US,Air transport (62),0,0,0,18661.04132,0,0,0,0,21193.0255,0,11516.06168,0,14322.83625,0,0,0,0,9469.619189,0,0,0,75162.58393
System,GB,Manufacture of machinery and equipment n.e.c. (29),0,0,0,2982.573172,6185.961403,0,0,3796.309198,10153.02103,0,11222.57274,0,3199.594207,11032.33092,0,0,0,9710.734628,3557.634758,10963.40884,7722.655454,80526.79635
System,US,Manufacture of furniture; manufacturing n.e.c. (36),0,0,0,2401.416741,4908.209826,0,0,3565.353909,8181.743778,0,10373.69993,0,2150.341694,10338.72812,0,0,0,8530.25893,3357.119381,10058.20065,6657.78891,70522.86187
System,US,Processing of dairy products,0,3646.045282,0,0,2731.49965,0,0,3968.356407,4553.275238,0,9621.891599,0,2393.401175,0,0,0,1575.546993,7912.049439,0,5597.554409,5557.753861,47557.37405
System,IT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0,6077.811385,0,8084.207357,0,0,0,6248.243838,7343.492042,0,9294.791234,0,7274.617205,0,0,0,0,7137.415186,0,0,6501.610051,57962.1883
System,GB,Transport via railways,0,0,0,6942.405046,0,0,0,0,7877.580908,0,8707.43048,0,9930.073884,0,2420.769648,0,0,7534.417341,2760.316911,0,0,46172.99422
System,CA,Real estate activities (70),0,5160.725057,0,0,0,0,0,2750.589932,2513.755369,0,8067.023789,0,4552.16603,5293.685833,0,0,0,8854.769889,0,0,0,37192.7159
System,US,Manufacture of tobacco products (16),0,0,0,0,0,0,6463.768104,0,0,0,7808.03921,0,1942.213756,0,0,0,0,6420.524656,0,4542.342206,0,27176.88793
System,JP,Sea and coastal water transport,0,0,0,10424.0451,0,0,0,0,9307.259898,0,7763.983113,0,0,0,0,0,0,6720.163573,0,0,8168.80804,42384.25973
System,CN,Real estate activities (70),0,4995.253771,0,0,0,0,0,2657.237312,2212.63489,0,7711.727459,0,4068.615491,5144.477111,0,0,0,9122.770308,0,0,0,35912.71634
System,CH,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,4625.688526,0,2070.111553,4173.617673,0,0,4925.220916,7090.074617,0,7376.109926,0,2383.468397,4794.519228,0,0,0,6867.828466,2352.120441,6981.766398,5195.856661,58836.3828
